ID,New ID,Title,A. Obesity focused,B. Health focused,C. Weight loss focused,D. Other disease Focused,E. Food focused,F. Unrelevant,G. Obesity  related,H Diet focused,I weight loss medicine,other medicine,body image /body weight,clothes related,English Translation
P1021,516,这位科技富豪探索“青春永驻”：其实抗衰老没那么难！,,,,,,,,,,,,,
P0832,517,“种子油”真的危害健康吗？澳洲营养专家揭穿一切,,,,,,,,,,,,,
P0687,518,澳洲人都爱吃的它，被发现竟是天然的“助眠神器”...,,,,,,,,,,,,,
P1092,519,震惊！澳洲最新研究：无糖汽水比含糖的更毒！,,,,,,,,,,,,,
P0698,520,澳洲如此“划分阶层”：你的身材竟然决定了你的阶级！,,,,,,,,,,,,,
P1077,521,阿娇又复胖？ ！圆脸粗手粗腿 对比女主持超残酷,,,,,,,,,,,,,
P0909,522,肥胖症患者的福音，这种药目前已在澳洲上市，赶快来看,,,,,,,,,,,,,
P0172,523,从控糖减肥到抗炎抗老，Ozempic为何成为“神药”代名词？,,,,,,,,,,,,,
P0620,524,毒蘑菇厨子四次企图谋害前夫 曾任空中交通管制员,,,,,,,,,,,,,
P0878,525,羽球员手上绑的黑环是什麽？ 医：监测身体「这数字」,,,,,,,,,,,,,
P0161,526,习近平女儿真面目曝光？网PO证件照引热议,,,,,,,,,,,,,
P0233,527,全球领先！在澳洲这地，身体突发不适，你的存活率很高！,,,,,,,,,,,,,
P0823,528,破天荒！澳洲邮政官宣大变化，网友：终于等到这一天,,,,,,,,,,,,,
P0573,529,最新研究：经常喝这类咖啡或增加眼部疾病风险！医生建议少喝！,,,,,,,,,,,,,
P0008,530,6部位“黑黑的” 恐是糖尿病 严重还飘异味,,,,,,,,,,,,,
P0947,531,血管堵塞的信号，往往出现在起床时！这3种异常，要提高警惕,,,,,,,,,,,,,
P0662,532,澳人家中常备“神药”被曝“不安全”？澳政府紧急寻求建议,,,,,,,,,,,,,
P0658,533,潘玮柏大走钟「胖到看不见脖子」 网笑：应该改名叫「潘玮厚」,,,,,,,,,,,,,
P0175,534,以为是健康零食！她上班狂吃「脸烂爆痘」 中医师揭5隐忧,,,,,,,,,,,,,
P0475,535,徐静蕾首回应秘密生女传闻 晒49岁近照认胖了很多,,,,,,,,,,,,,
P0640,536,流行糖尿病药物Ozempic将长时间短缺！供应要明年才有改善,,,,,,,,,,,,,
P0965,537,警惕！又有澳洲华人换汇蒙损，损失惨重更险被刑拘！骗汇者：“对我又没有影响”,,,,,,,,,,,,,
P0022,538,39岁郭碧婷正式复出！虎背熊腰胖了50斤，复出原因疑曝光,,,,,,,,,,,,,
P0665,539,澳人最常喝的饮品，每天一杯，竟能降低心脏病风险！,,,,,,,,,,,,,
P0285,540,千亿儿媳！54岁李嘉欣高调宣布复出！传开工价5000万,,,,,,,,,,,,,
P0782,541,痴呆症跃居澳洲头号死因！专家警告：10年内或超百万患者,,,,,,,,,,,,,
P0735,542,澳洲这款特效药被严格限制供应！想买超级难了,,,,,,,,,,,,,
P0537,543,新减肥“神药”在澳洲药房上市！疗效不输Ozempic,,,,,,,,,,,,,
P0468,544,张凌赫撞脸这些「天王级男神」！ 自曝曾因太胖遭女生嫌弃,,,,,,,,,,,,,
P0730,545,澳洲超市常见健康米竟含致癌物，每天三勺就超标！,,,,,,,,,,,,,
P0227,546,全球女性罩杯排名出炉：挪威D罩登顶，澳洲平均B罩,,,,,,,,,,,,,
P1035,547,逆龄美貌? 75岁王薇薇穿白裙出席颁奖会引发争议,,,,,,,,,,,,,
P0836,548,突发警告！澳洲超市这款畅销品爆雷，或将引发各种癌症！千万别用啦.,,,,,,,,,,,,,
P1082,549,陈妍希「一天只吃一顿饭」 遭批制造容貌焦虑引发争议,,,,,,,,,,,,,
P1093,550,霍思燕胖一圈遭疑怀二胎 「腹部隆起」画面网疯传,,,,,,,,,,,,,
P0996,551,超1000斤的前世界最胖男子，瘦身后失恋又胖回去了,,,,,,,,,,,,,
P1023,552,这是黄晓明？暴肥15公斤「脸圆肚凸又秃头」自嘲：喝水都胖,,,,,,,,,,,,,
P0883,553,《老情歌》吕方暴肥模样曝光 「胖到看不见脖子」身材大走钟,,,,,,,,,,,,,
P1066,554,锺欣凌「我的婆婆2」胖到80公斤 阿信追剧爆彩蛋,,,,,,,,,,,,,
P1050,555,郭碧婷《浪姐5》路透，近状曝光胖了一圈，双下巴明显超有贵妇范,,,,,,,,,,,,,
P0163,556,亚洲首富之子为结婚，18个月减肥216斤，婚礼还没办，又胖回去了,,,,,,,,,,,,,
P0489,557,惊人！ 最新研究曝「全球逾10亿人肥胖」 比预期提早8年,,,,,,,,,,,,,
P0606,558,歧视胖人？韩国地铁扶梯标识惹大量争议,,,,,,,,,,,,,
P0016,559,29年前泳装照出土羞喊：太胖！贾静雯「浪姐」激瘦回国小体重,,,,,,,,,,,,,
P0605,560,欧阳娜娜「腰间肉溢出」画面疯传！网一看全愣了：太尴尬,,,,,,,,,,,,,
P0722,561,澳洲牛奶好，但很多人都选错了！长寿专家建议，这样选才最好,,,,,,,,,,,,,
P0011,562,15年后，澳洲一半儿童都会变成“小胖子”？,,,,,,,,,,,,,
P0560,563,是时候改变你对肥胖的认知了,,,,,,,,,,,,,
P0762,564,王思聪日本逛街 头发斑秃又胖了 新女伴风格大变,,,,,,,,,,,,,
P0669,565,澳华人初创企业斩获巨额资金：AI助力研发抗衰老药物，帕金森、阿尔茨海默和肥胖症患者新希望,,,,,,,,,,,,,
P0703,566,澳洲年轻人癌症发病率上升,,,,,,,,,,,,,
P0523,567,拒绝“垃圾食品广告”！维州癌症委员会呼吁政府创造健康交通环境,,,,,,,,,,,,,
P0718,568,澳洲最新全民健康调查数据出炉：烟民数量减少 近2/3澳人过度肥胖,,,,,,,,,,,,,
P0694,569,澳洲千禧一代癌症发病率惊人上升 不良饮食、缺乏运动和肥胖增加患癌风险,,,,,,,,,,,,,
P0599,570,《柳叶刀》：应对“肥胖危机”不利 到2050年全球近六成人口或超重,,,,,,,,,,,,,
P0558,571,旨在解决儿童肥胖问题 联邦立法草案瞄准“垃圾食品”广告,,,,,,,,,,,,,
P0692,572,澳洲医学会呼吁对含糖饮料征税 遏制肥胖危机,,,,,,,,,,,,,
P0134,573,中国肥胖地图来了！超四成男性超重,,,,,,,,,,,,,
P0129,574,中国多地开设减重门诊 关注“胖”更要关心“人”,,,,,,,,,,,,,
P0689,575,澳洲儿童超重问题全球第二 利比亚占据榜首,,,,,,,,,,,,,
P0981,576,调查指香港超过一半人超重或肥胖,,,,,,,,,,,,,
P0136,577,中国首个省级健康体重指导中心落地浙江杭州,,,,,,,,,,,,,
P0659,578,澳17岁少女体重仅27公斤！父母当庭辩称：她本来就是早产儿,,,,,,,,,,,,,
P0277,579,助眠神器竟然是纯天然的，澳洲全球消费大户,,,,,,,,,,,,,
P0231,580,全球研究發現：到2050年，澳洲一半兒童和年輕人將受肥胖和超重影響,,,,,,,,,,,,,
P0690,581,澳洲兒童肥胖率達危險臨界點 公共衛生拉響警報,,,,,,,,,,,,,
P0140,582,中國肥胖率飆升 有望匹敵美國,,,,,,,,,,,,,
P0940,583,華人服務社2025慈善晚宴 幫助多元文化長者與社會聯繫,,,,,,,,,,,,,
P0068,584,Ozempic生產商諾和諾德股價暴跌後解僱其首席執行官,,,,,,,,,,,,,
P0652,585,減肥藥需求為塔斯馬尼亞罌粟產業開闢了新市場,,,,,,,,,,,,,
P0680,586,澳洲、新西蘭乳腺癌發病率全球最高,,,,,,,,,,,,,
P0082,587,Wegovy®司美格魯肽2.4mg現已在澳大利亞上市,,,,,,,,,,,,,
P0334,588,《吳醫師保健養生堂第五十二講》— 胃酸反流之一 吳宇琛,,,,,,,,,,,,,
P0195,589,保護自我、守護社區，共度流感季,,,,,,,,,,,,,
P0330,590,《吳醫師保健養生堂第三十七講》 — 髕骨軟骨退行性變和髕骨骨折 吳擎添,,,,,,,,,,,,,
P0332,591,《吳醫師保健養生堂第三十五講》 — 痛風 吳擎添,,,,,,,,,,,,,
P0331,592,《吳醫師保健養生堂第三十二講》 — 食療（六） 吳宇琛,,,,,,,,,,,,,
P0333,593,《吳醫師保健養生堂第二十八講》 — 淺談減肥 吳宇琛,,,,,,,,,,,,,
P0062,594,CSIRO發現只有五分之二的澳大利亞人攝入了足夠的蔬菜,,,,,,,,,,,,,
P0386,595,多元文化保健周新聞發佈會 推廣活動身體，弘揚文化,,,,,,,,,,,,,
P0436,596,家长们應给儿童和青少年接种流感疫苗,,,,,,,,,,,,,
P0539,597,新州衛生部召開記者會為65歲以上老人防範流行病提供建議,,,,,,,,,,,,,
P1065,598,金正恩有意培養女兒金主愛作為北韓接班人,,,,,,,,,,,,,
P0132,599,中国社会面临肥胖危机 超重人口比例或将超过美国,,,,,,,,,,,,,
P0826,600,碳水不是“敌人”：拒绝误导 别让流行饮食绑架健康,,,,,,,,,,,,,
P0127,601,中国儿童肥胖率激增：中餐是否在导致我们发胖？,,,,,,,,,,,,,
P0508,602,“我这一生，很完美”：百岁上海老人虞琦萍的故事,,,,,,,,,,,,,
P0622,603,气旋突袭黄金海岸：有人被困急哭，有人反被喂胖，有人忙爆单，有人反对采访,,,,,,,,,,,,,
P0477,604,【微声音】打工人“自救”指南：如何花式去班味儿？,,,,,,,,,,,,,
P0180,605,体重不知不觉就增加？7个方法帮你减肥,,,,,,,,,,,,,
P1006,606,跨越无声与有声：澳洲华人Fei从手语中学到了什么？,,,,,,,,,,,,,
P0417,607,如何让碳水化合物变得多吃不易胖 甚至越吃越瘦？,,,,,,,,,,,,,
P0550,608,无数孩子正期待他的来访 你知道圣诞老人起源是什么吗？,,,,,,,,,,,,,
P1042,609,避免假期肥胖的N个实用对策 总有一款适合你,,,,,,,,,,,,,
P0070,610,台湾电影《大饿》：肥胖与自我的和解之旅,,,,,,,,,,,,,
P0504,611,【我们的故事】“偷报纸的人”和流浪者的礼包：Phoebe奶吧里的故事,,,,,,,,,,,,,
P0102,612,三年前一個決定讓他成為「網紅」 收穫積極支持,,,,,,,,,,,,,
P0297,613,南澳擬禁垃圾食物廣告 廣告業界批無理：三文治都不可賣廣告,,,,,,,,,,,,,
P0162,614,二等公民：澳大利亚可避免死亡率的“残酷”现实,,,,,,,,,,,,,
P0387,615,多囊卵巢綜合症影響深遠 不只健康更影響外觀生育,,,,,,,,,,,,,
P0651,616,【減肥神葯】研究發現存在導致眼盲風險,,,,,,,,,,,,,
P0541,617,新报告：澳人的预期寿命是多少？有哪些主要疾病负担？,,,,,,,,,,,,,
P0542,618,新报告揭澳人常见死亡原因 有哪些“疾病杀手”?,,,,,,,,,,,,,
P1036,619,逾6成澳洲人口屬肥胖 議員倡減垃圾食物廣告,,,,,,,,,,,,,
P0476,620,從「三高」到「跑全馬」：運動改變了這位華人的生命,,,,,,,,,,,,,
P0171,621,从“三高”到15年“跑马”：这位华人如何通过改变生活方式自救？,,,,,,,,,,,,,
P0444,622,【專家話你知】從中醫角度看備孕 肥胖凍飲辛辣均是大忌,,,,,,,,,,,,,
P0352,623,四分之一澳洲人曾中风 如何预防中风？,,,,,,,,,,,,,
P0650,624,減肥減極都唔成功? AI可能幫到你,,,,,,,,,,,,,
P0672,625,澳大利亚癌症理事会：阿斯巴甜致癌不应引起恐慌,,,,,,,,,,,,,
P0828,626,禁播垃圾食品電視廣告 真可打救肥胖兒童？,,,,,,,,,,,,,
P0972,627,议员主张禁播“垃圾食品”广告 以消除儿童肥胖问题,,,,,,,,,,,,,
P0071,628,回应糖税呼声 澳洲联邦政府：没有计划征收,,,,,,,,,,,,,
P0952,629,装化工油车运输食用油 澳洲证实进口涉事中国公司食用油,,,,,,,,,,,,,
P0806,630,研究人员新发现两种脑退化症风险因素 中年和晚年需注意什么？,,,,,,,,,,,,,
P0839,631,笑话天地2,,,,,,,,,,,,,
P1027,632,进入更年期女性的养生保健,,,,,,,,,,,,,
P0202,633,健康生活 仁心仁術  髖關節僵硬(Stiff Hip),,,,,,,,,,,,,
P0117,634,世衛將阿斯巴甜 列為致癌誘因,,,,,,,,,,,,,
P0948,635,表面風光內裡堪憂的杭州亞運,,,,,,,,,,,,,
P0641,636,浪漫,,,,,,,,,,,,,
P0875,637,美斯缺席香港友誼賽的餘波,,,,,,,,,,,,,
P0753,638,爱情，爱的疑惑,,,,,,,,,,,,,
P1102,639,風影,,,,,,,,,,,,,
P0203,640,健康生活，仁心仁術，平底足(Over-pronated Foot/Flat Foot),,,,,,,,,,,,,
P0608,641,殘缺也是美,,,,,,,,,,,,,
P0391,642,夢繞湄公河畔,,,,,,,,,,,,,
P0845,643,"紅磨坊-是的,我們康康!",,,,,,,,,,,,,
P0964,644,談談健身室,,,,,,,,,,,,,
P0779,645,當猪長着 翅膀,,,,,,,,,,,,,
P0463,646,年輕人罹癌趨勢上升,,,,,,,,,,,,,
P0963,647,談文說藝  跑起來,,,,,,,,,,,,,
P0666,648,澳人飲食結構將更惡化 2030垃圾食品攝取恐增18%,,,,,,,,,,,,,
P0561,649,時尚界再掀超薄風讓人遺憾 專家憂社群媒體推恐胖風潮,,,,,,,,,,,,,
P0298,650,南澳禁公交垃圾食品廣告 綠黨籲聯邦效仿保護孩子,,,,,,,,,,,,,
P1106,651,香港小學生肥胖率10年低 中學生20%居高未下,,,,,,,,,,,,,
P0301,652,去寺廟「幹飯」 都市青年紓壓新法 寺廟經濟也創收,,,,,,,,,,,,,
P0603,653,榮升人妻後首亮相 吳千語食物中毒狂嘔被誤有喜,,,,,,,,,,,,,
P0660,654,澳50歲下腸癌發病增加 微塑料或增風險仍有待研究,,,,,,,,,,,,,
P0894,655,肥胖人群晚上運動效果更好 或有助肥胖和血糖管理預防,,,,,,,,,,,,,
P0887,656,聯合國警告全球兒少肥胖率 首度超越體重過輕,,,,,,,,,,,,,
P0455,657,少年兒童肥胖問題日益嚴重 聯合國警告澳立法遏制垃圾食品,,,,,,,,,,,,,
P0219,658,兒童肥胖和2型糖尿病增加 醫學會籲征糖稅政府已排除,,,,,,,,,,,,,
P0737,659,澳肥胖症治療每年至少120億 政府正考慮減肥藥PBS補貼,,,,,,,,,,,,,
P0647,660,減少兒童和成人肥胖 南澳公交將禁火腿等加工肉廣告,,,,,,,,,,,,,
P0795,661,睡前奶瓶餵養風險高 容易導致肥胖和蛀牙,,,,,,,,,,,,,
P0368,662,國際機構建議將肥胖分兩類 BMI不應作為唯一鑒別標准,,,,,,,,,,,,,
P0006,663,4部門聯合發文 預防中小學生超重肥胖最新政策,,,,,,,,,,,,,
P0678,664,澳子宮內膜癌是20年前兩倍 多肥胖症約15%是年輕女性,,,,,,,,,,,,,
P0260,665,出席《世界肥胖日2024》宣傳活動 車婉婉與陳志雲呼籲關注肥胖問題,,,,,,,,,,,,,
P0787,666,發現致肥胖患者心衰蛋白質 現有阿爾茲海默藥物可用,,,,,,,,,,,,,
P0242,667,具治療肥胖症效果需求大 糖尿病新藥剛上市即脫銷,,,,,,,,,,,,,
P0376,668,垃圾食品廣告導致兒童肥胖 成本昂貴提案籲嚴管和重罰,,,,,,,,,,,,,
P0765,669,理大中大合研治肥胖新藥,,,,,,,,,,,,,
P0118,670,世衛組織修訂肥胖管理方針 稱藥物並非萬靈丹,,,,,,,,,,,,,
P0842,671,簡單措施可讓澳少死1600人 專家批應對肥胖缺國家支持,,,,,,,,,,,,,
P0276,672,劉亦菲驚爆發福 臉圓身材腫一圈 網：肉肉的才好看,,,,,,,,,,,,,
P0176,673,伊能靜巴黎狂吃甜點稱發福了,,,,,,,,,,,,,
P1085,674,陳展鵬唔覺老婆發福 郭珮文不介意身材,,,,,,,,,,,,,
P0590,675,李雪琴演活「折腰」胖丫鬟 自爆胃部切除8顆息肉,,,,,,,,,,,,,
P0654,676,減重後被說復胖 賈玲分享運動日常,,,,,,,,,,,,,
P0518,677,「折腰」李雪琴演搞笑胖丫鬟走紅,,,,,,,,,,,,,
P0646,678,減少兒童和成人肥胖 南澳公交將禁火腿等加工肉廣告,,,,,,,,,,,,,
P0949,679,被傳復胖 賈玲生日照曝光,,,,,,,,,,,,,
P0137,680,中國人持續增高又變胖 官方續推「體重管理年」,,,,,,,,,,,,,
P0985,681,賈玲「增胖激瘦」不喊苦 下部作品曝光,,,,,,,,,,,,,
P1074,682,關曉彤胖成27歲少婦 網友辣評,,,,,,,,,,,,,
P0593,683,杭州女大生擺攤賣畫救母傳來好消息 媽媽康復「白白胖胖」,,,,,,,,,,,,,
P0986,684,賈玲被質疑「復胖」 現身活動被「搶拍」,,,,,,,,,,,,,
P0960,685,許光漢飛韓國頂零下21度拍攝 自嘲吃澱粉有點變胖,,,,,,,,,,,,,
P0919,686,胖到認不出 42歲姚迪罕見現身,,,,,,,,,,,,,
P0420,687,「婉君」俞小凡復出想拍戲 最近煩惱是「吃不胖」,,,,,,,,,,,,,
P0423,688,孕婦飲食關聯兒童肥胖風險 魚和雞蛋或會導致風險升高,,,,,,,,,,,,,
P0740,689,為雙蠟像揭幕 內地歌手蔡徐坤認之前較胖,,,,,,,,,,,,,
P1089,690,陸飲食結構研究：麵比飯易發胖,,,,,,,,,,,,,
P0648,691,「減肥100斤後觀眾緣變差」 賈玲稱體重少了魂又沒換,,,,,,,,,,,,,
P0422,692,孕婦產檢因「體重超標」心碎 污名化影響女性參與醫療,,,,,,,,,,,,,
P0141,693,中國醫學科技界首推減重AI大模型 拍照上傳自動管理體重,,,,,,,,,,,,,
P0447,694,對學生定期稱重可提前干預 反對者憂關注體重致恥辱感,,,,,,,,,,,,,
P0588,695,李湘機場被偶遇 身材「富態」,,,,,,,,,,,,,
P0341,696,周華健身材變化引熱議 曬「腹肌」幽默回應,,,,,,,,,,,,,
P1067,697,長期疲勞、睡覺狂打呼 小心恐是睡眠呼吸中止症,,,,,,,,,,,,,
P0348,698,唐獎得主受邀亞洲生技大會 談GLP-1減重與戒酒應用,,,,,,,,,,,,,
P0349,699,唐獎生醫獎得主莫依索夫 執著探索物種代謝機能,,,,,,,,,,,,,
P0395,700,大約每5位更年期婦女 有1位有三高異常問題 護心5要訣 遠離心血管疾病風險,,,,,,,,,,,,,
P0559,701,早餐吃麵包、蛋餅超NG 易累想睡情緒差,,,,,,,,,,,,,
P0361,702,國中生體重150公斤後頸黑色棘皮 差點引發糖尿病,,,,,,,,,,,,,
P0034,703,50歲以上男性半數有泌尿困擾 醫學會發起關懷月,,,,,,,,,,,,,
P0535,704,整天滑3C不離手 兒童青少年脂肪肝比例增,,,,,,,,,,,,,
P1114,705,高血脂盛行率達3成 「控脂4招」保健康,,,,,,,,,,,,,
P0824,706,破除備孕迷思 把握黃金生育期,,,,,,,,,,,,,
P0865,707,美國明年退出WHO 世衛大會5/19登場擬商討縮減規模,,,,,,,,,,,,,
P0497,708,感冒恐增心血管疾病風險 醫：三高酗酒缺運動需警覺,,,,,,,,,,,,,
P0312,709,【台適生活】 世上唯二用繁體字的地方|樂活,,,,,,,,,,,,,
P0433,710,定期健康檢查 數據紅字莫慌張 三高異常、代謝症候群 讓專業醫事人員幫助您,,,,,,,,,,,,,
P1041,711,遠離腎臟病，控制三高是關鍵 !,,,,,,,,,,,,,
P0428,712,學童愛逛便利商店 營養師推薦健康課後點心清單,,,,,,,,,,,,,
P1040,713,遠離子宮內膜癌 就從「警覺出血」開始,,,,,,,,,,,,,
P0866,714,美國男嬰接受客製化基因編輯治療 全球首例為罕病患者帶來希望,,,,,,,,,,,,,
P1062,715,重視公開哺乳權 媽媽自在哺乳 共同營造更友善哺乳環境,,,,,,,,,,,,,
P0350,716,單純脂肪肝對B肝有保護力？台大醫院研究揭意外發現,,,,,,,,,,,,,
P0309,717,台南男腋下汗腺發炎化膿逾2年 手術切除植皮獲改善,,,,,,,,,,,,,
P0421,718,子宮內膜過厚恐罹癌 醫籲多囊等6族群定期檢查,,,,,,,,,,,,,
P1055,719,醫學會調查：8成女性睡不好未就醫 心血管風險增,,,,,,,,,,,,,
P0458,720,屏東醫院引進內視鏡袖狀胃縫合術 縮短恢復期,,,,,,,,,,,,,
P1112,721,體脂偏高小心罹患「CKM症候群」 心、腎、代謝疾病連環爆,,,,,,,,,,,,,
P0200,722,「健康台灣」第3次委員會議 總統期盼公私部門協力合作降低慢性病及失能風險 多管齊下解決臺灣醫療問題 早日達到健康台灣願景,,,,,,,,,,,,,
P0238,723,公費流感抗病毒藥劑對象 8月起增產婦、肥胖兒少,,,,,,,,,,,,,
P0279,724,北醫大：攝取代糖精子死亡率增 恐影響男性生育力,,,,,,,,,,,,,
P0607,725,死亡人數比癌症還多 三高「888」計畫拚2028年達標,,,,,,,,,,,,,
P0815,726,研究指精子佳壽命多2.7年 無糖飲守護性福,,,,,,,,,,,,,
P0943,727,萬聖節別落入甜蜜陷阱 親子共煮南瓜點心好健康,,,,,,,,,,,,,
P0802,728,研究：住家附近餐飲攸關兒童肥胖 滷味是隱藏地雷,,,,,,,,,,,,,
P0381,729,外送也能吃出健康 醫師推「993」原則減脂,,,,,,,,,,,,,
P0218,730,「兒童健康體位大富翁」打造未來主人翁,,,,,,,,,,,,,
P0814,731,研究指45%失智症可預防 國衛院推40歲起5大守則,,,,,,,,,,,,,
P0801,732,研究：中重度睡眠呼吸中止症 逾5成是非肥胖青壯年,,,,,,,,,,,,,
P0193,733,促進台灣波蘭文化交流 駐處推出創意春節賀歲片,,,,,,,,,,,,,
P0805,734,研究：運動後搭配高蛋白飲食 有助於抑制食慾,,,,,,,,,,,,,
P0246,735,冬天易變胖？營養師：掌握2大飲食原則 保暖又瘦身,,,,,,,,,,,,,
P0800,736,研究：一線糖尿病用藥二甲雙胍可降失智風險,,,,,,,,,,,,,
P1115,737,高雄夫妻肥胖困擾 「無痕胃拉提」助甩肉共50公斤,,,,,,,,,,,,,
P0003,738,3歲童體重16公斤 醫：含糖飲當水喝恐傷專注力,,,,,,,,,,,,,
P1090,739,雙北胖小弟47.4%有脂肪肝 醫籲遠離3大NG作息,,,,,,,,,,,,,
P0818,740,研究糖尿病成因獲唐獎 哈本能：肥胖可控制,,,,,,,,,,,,,
P1054,741,醫：全台青少年每3人就有1個胖 成年後死亡風險較高,,,,,,,,,,,,,
P0776,742,男子身材偏瘦酒後突心肌梗塞 壞膽固醇超過2倍,,,,,,,,,,,,,
P0502,743,成年女性逾半腰圍過粗 醫籲母親節用擁抱關心健康,,,,,,,,,,,,,
P0310,744,台南男體重腰圍都破百 患重度脂肪肝減重助改善,,,,,,,,,,,,,
P0382,745,外食族身材管理挑戰多 營養師揭健康餐盒4地雷,,,,,,,,,,,,,
P0002,746,3招動一動 拒久坐 避免肥胖 健康一定棒,,,,,,,,,,,,,
P0649,747,減肥怕卡關又復胖 台大醫院集結30年經驗成祕笈,,,,,,,,,,,,,
P0847,748,「經濟艙症候群」恐致死 醫：久坐、肥胖皆高風險,,,,,,,,,,,,,
P0060,749,BMI無肥胖少女高血脂 醫：有家族遺傳飲食要忌口,,,,,,,,,,,,,
P0400,750,天熱流汗可減重？醫：少動又狂喝飲料反變胖,,,,,,,,,,,,,
P0363,751,國內兒童及青少年平均約每3位就有1位過重或肥胖 善用三撇步 暑假體位健康不超標,,,,,,,,,,,,,
P0018,752,30歲男每天10顆慢病藥 手術加調整生活減100公斤,,,,,,,,,,,,,
P0005,753,4成過年變胖均增1.7公斤 營養師：冬天瘦身黃金時期,,,,,,,,,,,,,
P0926,754,腰圍血壓雙超標 代謝症候群風險高達68%,,,,,,,,,,,,,
P0534,755,擺脫病態性肥胖 健保機械手臂輔助手術助減重,,,,,,,,,,,,,
P0213,756,健檢數據揭警訊 30至39歲男7成2過重肥胖,,,,,,,,,,,,,
P1032,757,逆轉民眾代謝症候群 8成腰粗或肥胖民眾 參加計畫後超過5成有改善,,,,,,,,,,,,,
P0220,758,全台每2人就有1人胖 肥胖比例每年增幅達4.1%,,,,,,,,,,,,,
P0886,759,聯合國示警 全球兒少肥胖率首度超越體重過輕,,,,,,,,,,,,,
P0083,760,WHO：2050年全球新發癌症病例恐增77% 肥胖空污等4因素影響,,,,,,,,,,,,,
P0491,761,惊人的因果定律：人品好的人，根本不会吃亏,,,,,,,,,,,,,
P1007,762,身体有5 个表现，建议查查甲状腺,,,,,,,,,,,,,
P1013,763,近20% 居民不能每天吃早餐，专家建议这样吃,,,,,,,,,,,,,
P0327,764,吃金桔到底要不要吃皮,,,,,,,,,,,,,
P0891,765,肥胖人数激增！澳洲将对学生进行体重测量,,,,,,,,,,,,,
P0777,766,男性“缩短”寿命行为排行榜公布,,,,,,,,,,,,,
P1026,767,这种饮料每喝一口都会增加糖尿病风险 哪怕运动也不能抵消伤害,,,,,,,,,,,,,
P0110,768,不给饭吃，虐待，拼死训练，澳洲芭蕾少女 骨瘦如柴仅27 公斤，她却恳求释放父母,,,,,,,,,,,,,
P1072,769,长期被“冤枉”的5 个好东西 以为有害，其实可以放心吃,,,,,,,,,,,,,
P0094,770,一只羊、两只羊、三只羊…… 失眠了，数羊有用吗,,,,,,,,,,,,,
P0113,771,世上最高级的养生：童心，蚁食，龟欲，猴行,,,,,,,,,,,,,
P0111,772,不能与南瓜一起吃的食物,,,,,,,,,,,,,
P0917,773,胃的“第一修复剂”不是白粥、牛奶，而是它 常吃养出“黄金胃”,,,,,,,,,,,,,
P0973,774,记忆力下降、代谢紊乱 “碎片化睡眠”危害有多大,,,,,,,,,,,,,
P0314,775,吃土也能减肥，澳洲科学家发现了减肥的 新方法，这种土有营养还越吃越瘦！,,,,,,,,,,,,,
P0256,776,“减肥神药”进入口服时代，礼来登顶“减肥药王”,,,,,,,,,,,,,
P0719,777,澳洲有270 万人患上这种病，却没人发现 这些不起眼的小症状，可能藏着致命危险,,,,,,,,,,,,,
P0023,778,40 万学费换地狱体验？澳媒爆料： 悉尼顶私丑闻清单曝光,,,,,,,,,,,,,
P1015,779,这4 种食物，“自带”黄体酮，女人 45 岁后要多吃，利于皮肤有弹性,,,,,,,,,,,,,
P1020,780,这些蔬菜才是真正的营养冠军,,,,,,,,,,,,,
P0880,781,老外中国游北京最热门,,,,,,,,,,,,,
P0166,782,人到中年，别把这4 件事看得太重 否则苦的是自己,,,,,,,,,,,,,
P1019,783,这个州耗资1000 万澳元，只为鼓励孩子以 这种方式去上学，实在是因为好处太多了,,,,,,,,,,,,,
P0404,784,“失眠”最怕这3 种菜,,,,,,,,,,,,,
P0984,785,豆腐乳，是身体的“守护神”还是 “潜在杀手”？常吃究竟好不好,,,,,,,,,,,,,
P0579,786,最高级养生，不是锻炼，不是睡觉，就一个字,,,,,,,,,,,,,
P0874,787,美女飞澳洲，只是在飞机上睡了20 个小时 竟然差点瘫痪，飞机上千万别这样，有人猝死,,,,,,,,,,,,,
P0191,788,你过得好不好，从吃饭就能看出来,,,,,,,,,,,,,
P0788,789,白萝卜是结节的“加速剂”吗？ 医生：不想结节，尽量少吃3 物,,,,,,,,,,,,,
P0618,790,每天这个时间运动，更有助于控糖,,,,,,,,,,,,,
P0688,791,澳洲儿童“健康”食品就真的健康吗,,,,,,,,,,,,,
P0286,792,午睡可能影响寿命，再次提醒： 过了50 岁后，牢记午睡“三不要”,,,,,,,,,,,,,
P0681,793,澳洲16 岁妹子只喝奶昔和软饮料从不喝水 胖成一座山，然后又狂瘦65kg 减掉 半个自己重生变女神,,,,,,,,,,,,,
P0572,794,最新研究：每天多吃澳洲超市这类 食品10%，早逝风险飙升,,,,,,,,,,,,,
P0923,795,脂肪害怕这8 种食物，但有个误区要避免,,,,,,,,,,,,,
P0281,796,十大低糖水果排行榜,,,,,,,,,,,,,
P0183,797,你以为健康的饮料，正在 偷偷升高你的尿酸和炎症,,,,,,,,,,,,,
P0970,798,让你更受欢迎的7 条社交法则,,,,,,,,,,,,,
P0329,799,吃饭一个改变，脂肪肝就有可能好转,,,,,,,,,,,,,
P1014,800,这3 种早餐，提高免疫力少生病,,,,,,,,,,,,,
